RWS_DAU_10,RWS_10,DS_10,GS_10,SD_10,FF_10,DD_10,PP_10,TT_10,TM5_10,RF_10,load
10,0.0,0.0,0.0,0.0,26.8,1740,6140.9,34.5,32.5,565.0,519.2164576749146
11,0.0,0.0,0.0,0.0,24.7,1760,6141.4,34.7,32.8,564.0,565.9091419498734
27,0.0,0.0,0.0,0.0,23.7,1740,6142.5,34.8,33.0,565.5,377.70090922516863
56,0.2,0.0,0.0,0.0,22.900000000000002,1690,6143.0,34.1,32.2,570.1,306.2359131999979
53,0.03,0.0,0.0,0.0,24.3,1670,6143.0,34.0,31.9,571.2,285.88580977520877
14,0.0,0.0,0.0,0.0,25.9,1660,6141.2,33.1,31.1,567.7,292.4693620742997
0,0.0,0.0,0.0,0.0,26.7,1660,6139.3,32.5,30.4,558.4,284.15428765102007
0,0.0,0.0,0.0,0.0,28.1,1620,6137.7,32.0,30.1,550.3,460.8792795244907
0,0.0,0.0,0.0,0.0,29.9,1630,6137.6,30.2,27.9,541.6,571.6812218754935
0,0.0,0.0,0.0,0.0,25.8,1610,6137.4,29.3,27.2,529.8,441.81509869936485
0,0.0,2.6,2.6,0.0,26.200000000000003,1600,6136.5,29.400000000000002,28.4,532.5,763.9125380000562
20,0.0,7.8,7.8,0.0,25.0,1610,6136.0,29.6,29.4,545.9,544.9273160996879
39,0.0,14.7,14.7,0.0,23.8,1570,6132.6,30.299999999999997,30.7,562.4,644.5336940755195
15,0.04,13.9,13.9,0.0,26.6,1540,6127.8,30.5,31.1,565.4,651.5423276255628
0,0.0,17.7,17.7,0.0,25.7,1480,6121.8,31.6,32.5,555.8,401.54696227436636
9,0.0,10.0,10.0,0.0,27.5,1480,6117.2,32.9,33.0,554.1,652.8722267743772
47,0.03,3.9,3.9,0.0,27.9,1460,6112.3,33.0,32.1,567.2,404.2560499255498
43,0.11,0.0,0.0,0.0,30.0,1440,6106.7,33.5,32.0,566.8,377.573402375347
24,0.0,0.0,0.0,0.0,28.7,1390,6098.4,35.2,33.0,561.3,727.6723770244045
13,0.0,0.0,0.0,0.0,32.7,1390,6089.9,37.2,34.7,541.6,1059.742353675915
58,0.32,0.0,0.0,0.0,41.4,1440,6081.7,38.5,35.1,541.9,799.1155262740646
60,0.79,0.0,0.0,0.0,43.8,1430,6072.2,38.7,35.7,553.9,655.8478380500501
39,0.25,0.0,0.0,0.0,46.0,1440,6062.5,39.9,36.8,555.3,732.0573513998877
24,0.14,0.0,0.0,0.0,51.3,1450,6052.1,42.5,39.4,541.5,660.4039861003057
60,0.85,0.0,0.0,0.0,43.0,1470,6043.2,42.8,39.7,555.1,594.624010324736
60,3.12,0.0,0.0,0.0,47.3,1550,6036.5,42.0,39.0,549.8,512.8304397752286
14,0.27,0.0,0.0,0.0,37.5,1630,6031.6,40.6,34.8,532.5,348.8359772251781
0,0.0,0.0,0.0,0.0,41.4,1620,6028.0,40.9,36.7,512.6,338.2291416248504
29,0.05,0.0,0.0,0.0,46.9,1620,6022.1,40.6,35.4,510.5,337.27541597504256
38,0.3,0.0,0.0,0.0,47.3,1560,6013.9,39.0,32.1,501.6,333.22174780042224
40,0.47000000000000003,0.0,0.0,0.0,56.6,1620,6006.0,35.0,29.9,501.1,287.6669736995436
57,0.27,0.0,0.0,0.0,52.6,1590,5997.9,35.8,30.299999999999997,514.3,315.6546533251113
59,0.28,0.0,0.0,0.0,58.8,1610,5992.4,36.1,30.0,501.5,519.0175269753039
58,0.0,0.0,0.0,0.0,62.2,1620,5987.5,36.6,31.0,493.4,596.3391812498171
42,0.03,3.8,3.8,0.0,62.5,1620,5983.1,36.1,31.5,497.5,501.7861294996775
60,1.87,2.5,2.5,0.0,68.4,1630,5979.5,34.6,30.3,527.5,466.1054556499661
37,0.7200000000000001,18.7,18.8,0.0,70.1,1720,5980.9,35.8,32.7,524.2,395.83334272528225
39,0.9500000000000001,27.9,30.5,0.083,65.0,1730,5979.8,38.5,35.1,514.9,721.7374077003169
9,0.0,23.0,23.0,0.0,68.3,1790,5980.7,37.0,34.4,492.1,373.59377469985566
59,0.6799999999999999,13.4,13.4,0.0,60.5,1800,5981.2,33.199999999999996,29.700000000000003,515.0,323.1568607247222
24,0.32,4.6,4.6,0.0,64.1,1750,5981.4,32.5,28.6,503.1,325.9267703997605
29,0.0,0.1,0.1,0.0,69.4,1770,5983.2,32.4,27.7,488.0,407.49666527555894
13,0.0,0.0,0.0,0.0,63.4,1770,5986.0,30.3,27.4,498.6,425.6378660500244
